site,name_locus,country,method,context,length,width,depth,date,date2,functions,reference,rec_updated
'Akbara,1,Israel,Unknown,Cave,,,,,,,"*** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 10",10/01/17 02:21
'Ibellin,Complex D,Israel,Excavation,Cave,,,,,,,"*** Muqari. 1999. Ibellin, Excavations and Surveys in Israel 109, 18*-20*., p. 18*-20* *** Shahar. The Underground Hideouts in Galilee and Their Historical Meaning, in: The Bar Kokhba War Reconsidered. New Perspectives on the Second Jewish Revolt against Rome. SchÃ¤fer, Peter (Prof), 2003, p. 220 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 24",10/01/17 02:21
'Ibellin,L187/L189,Israel,Excavation,Unknown,2,2,2,,,,"*** Abu Raya. 2008. Evlayim (B), Hadashot Arkheologiyot-Excavations and Surveys in Israel 120,-., p. *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 25",10/01/17 02:21
Alonim,n.a.,Israel,Unknown,Unknown,,,,,,,"*** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 323 no. 84",10/01/17 02:21
Arbel,1,Israel,Excavation,Domestic.Uncertain,,,,,,,"*** Aviam. 2004. Jews, Pagans, and Christians in the Galilee: 25 Years of Archaeological Excavations and Surveys Hellenistic to Byzantine Periods., p. 25 n. 9-10 *** Leibner. 2009. Settlement and History in Hellenistic, Roman and Byzantine Galilee: An Archaeological Survey of the Eastern Galilee., p. 252 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 31",23/02/17 03:12
Arbel,2,Israel,Excavation,Domestic.Uncertain,,,,,,,"*** Aviam. 2004. Jews, Pagans, and Christians in the Galilee: 25 Years of Archaeological Excavations and Surveys Hellenistic to Byzantine Periods., p. 25 n. 9-10 *** Leibner. 2009. Settlement and History in Hellenistic, Roman and Byzantine Galilee: An Archaeological Survey of the Eastern Galilee., p. 252 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 32",10/01/17 02:21
Arbel,3,Israel,Survey,Cave,,,,,,,"*** Ilan. 1989. Eastern Galilee, Survey of Roman Roads, Excavations and Surveys in Israel 9, 14-18., p. 14-18, Fig. 15 *** Leibner. 2009. Settlement and History in Hellenistic, Roman and Byzantine Galilee: An Archaeological Survey of the Eastern Galilee., p. 237-40 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 21 *** Miller. 2015. At the Intersection of Texts and Material Finds: Stepped Pools, Stone Vessels, and Ritual Purity Among the Jews of Roman Galilee., p. 23",10/01/17 02:21
Arbel,4,Israel,Survey,Cave,,,,,,,"*** Ilan. 1989. Eastern Galilee, Survey of Roman Roads, Excavations and Surveys in Israel 9, 14-18., p. 14-16 *** Leibner. 2009. Settlement and History in Hellenistic, Roman and Byzantine Galilee: An Archaeological Survey of the Eastern Galilee., p. 237-40 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 22 *** Miller. 2015. At the Intersection of Texts and Material Finds: Stepped Pools, Stone Vessels, and Ritual Purity Among the Jews of Roman Galilee., p. 23",10/01/17 02:21
Arbel,5,Israel,Survey,Cave,,,,,,,"*** Ilan. 1989. Eastern Galilee, Survey of Roman Roads, Excavations and Surveys in Israel 9, 14-18., p. *** Leibner. 2009. Settlement and History in Hellenistic, Roman and Byzantine Galilee: An Archaeological Survey of the Eastern Galilee., p. 237-40 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 23 *** Miller. 2015. At the Intersection of Texts and Material Finds: Stepped Pools, Stone Vessels, and Ritual Purity Among the Jews of Roman Galilee., p. 23",10/01/17 02:21
Beth She'arim,Cat 11,Israel,Excavation,Burial,3.4,2.4,2.7,,,,,10/01/17 02:21
Beth She'arim,Cat 24,Israel,Excavation,Burial,8,8,5.9,,,,,10/01/17 02:21
Beth She'arim,Cat 29,Israel,Excavation,Burial,3,3.30-4.10,,,,,,10/01/17 02:21
Beth She'arim,Cistern no. 1,Israel,Excavation,Domestic,1.8,1.3,3.5,,,,"*** Avigad. 1955. Excavations at Beth She'arim, 1954. Preliminary Report, Israel Exploration Journal 5, 205-239., p. 207-9 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 323 no. 88",10/01/17 02:21
Beth She'arim,n.a.,Israel,Excavation,Unknown,,,,,,,,10/01/17 02:21
Beth She'arim,n.a.,Israel,Excavation,Domestic,,,,,,,,10/01/17 02:21
Beth She'arim,n.a.,Israel,Excavation,Unknown,,,,,,,,10/01/17 02:21
Chorazin,1,Israel,Excavation,Domestic,2,2.5,,,,,"*** Yeivin. 1984. Korazin - 1983/1984, Excavations and Surveys in Israel 3, 66-71., p. 67 *** Yeivin. 1984. A Ritual Bath (Miqveh) at Chorazin, Qadmoniot 66/7, 79-81., p. *** Yeivin. Chorazin, in: New Encyclopedia of Archaeological Excavations in the Holy Land. Stern, Ephraim (Prof), 1993, p. 302-3 *** Hoss. 2005. Baths and Bathing: The Culture of Bathing and the Baths and Thermae in Palestine from the Hasmoneans to the Moslem Conquest., p. 182 M cat. no. 2 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 11",10/01/17 02:21
el-Maâaser,1,Israel,Survey,Unknown,,,,,,,"*** Tor. 2000. Map of Migdal, Survey, Hadashot Arkheologiyot-Excavations and Surveys in Israel 112, 17*-18*., p. 17* *** Leibner. 2009. Settlement and History in Hellenistic, Roman and Byzantine Galilee: An Archaeological Survey of the Eastern Galilee., p. 249-50 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 30",10/01/17 02:21
Gush Halav,L105,Israel,Excavation,Domestic.Uncertain,1.75,,,,,,"*** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 5 *** Hartal. 2013. Gush Halav (B), Hadashot Arkheologiyot-Excavations and Surveys in Israel 125,-., p.",10/01/17 02:21
Horvat Kamon,L107,Israel,Excavation,Domestic.Uncertain,1,0.5,> 0.70,,,,"*** Aviam. Distribution Maps of Archaeological Data from the Galilee: An Attempt to Establish Zones Indicative of Ethnicity and Religious Affiliation, in: Religion, Ethnicity and Identity in Ancient Galilee. A Region in Transition. Zangenberg, JÃ¼rgen K. (Prof), Attridge, Harold W. (Prof), Martin, Dale B. (Prof), 2007, p. Map 3 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 12 *** Hartal. 2012. A Settlement from the Roman Period at Horbat Kamon, 'Atiqot 70, 39-49., p. 83*, Figs. 1 and 6",10/01/17 02:21
Horvat Kur,1,Israel,Survey,Unknown,,,,,,,"*** Tepper, Daryn, Tepper. 2000. Nahal 'Amud Region: Chapters on the Settlement History (Hebrew)., p. 67-68 *** Amit, Adler. The Observance of Ritual Purity after 70 C.E. A Reevaluation of the Evidence in Light of Recent Archaeological Discoveries, in: ""Follow the Wise"": Studies in Jewish History and Culture in Honor of Lee I. Levine. Weiss, Zeev (Prof), Irshai, Oded (Prof), Magness, Jodi (Prof), Schwartz, Seth (Prof), 2010, p. 131 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 18 *** Zangenberg, MÃ¼nger, Hakola, McCane. 2013. The Kinneret Regional Project Excavations of a Byzantine Synagogue at Horvat Kur, Galilee, 2010-2013: A Preliminary Report, Hebrew Bible and Ancient Israel 2, 557-576., p.",10/01/17 02:21
Huqoq,1,Israel,Survey,Unknown,,,,,,,"*** Tepper, Daryn, Tepper. 2000. Nahal 'Amud Region: Chapters on the Settlement History (Hebrew)., p. 83-84 *** Leibner. 2009. Settlement and History in Hellenistic, Roman and Byzantine Galilee: An Archaeological Survey of the Eastern Galilee., p. 151 *** Amit, Adler. The Observance of Ritual Purity after 70 C.E. A Reevaluation of the Evidence in Light of Recent Archaeological Discoveries, in: ""Follow the Wise"": Studies in Jewish History and Culture in Honor of Lee I. Levine. Weiss, Zeev (Prof), Irshai, Oded (Prof), Magness, Jodi (Prof), Schwartz, Seth (Prof), 2010, p. 131 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 35 *** Magness, Kisilevitz, Britt, Grey, Spigel. 2014. Huqoq (Lower Galilee) and its synagogue mosaics:preliminary report on the excavations of 2011-13, Journal of Roman Archaeology 27, 327-355., p. 329 *** Tepper, Shahar. Hiding complexes in the Galilee, in: The hiding complexes in the Judean Shephelah. Kloner, Amos (Prof), Tepper, Yotam (Dr), 1987, p. 311-313",10/01/17 02:21
Huqoq,Area 4000,Israel,Excavation,Agriculture,4.5,4.6,2.35,,,,"*** Amit, Adler. The Observance of Ritual Purity after 70 C.E. A Reevaluation of the Evidence in Light of Recent Archaeological Discoveries, in: ""Follow the Wise"": Studies in Jewish History and Culture in Honor of Lee I. Levine. Weiss, Zeev (Prof), Irshai, Oded (Prof), Magness, Jodi (Prof), Schwartz, Seth (Prof), 2010, p. 131 n. 29 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 36 *** Magness. 2012. Huqoq â 2011, Hadashot Arkheologiyot-Excavations and Surveys in Israel 124,-., p. *** Magness, Kisilevitz, Britt, Grey, Spigel. 2014. Huqoq (Lower Galilee) and its synagogue mosaics:preliminary report on the excavations of 2011-13, Journal of Roman Archaeology 27, 327-355., p. 331-32, Figs 1-2",10/01/17 02:21
Karm er-Ras,L207,Israel,Excavation,Domestic,1.9,1.4,1.7,,,,"*** Alexandre. 2008. Karm er-Ras (Areas C, D), Hadashot Arkheologiyot-Excavations and Surveys in Israel 120,-., p. *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 323 no. 80",10/01/17 02:21
Karm er-Ras,L331,Israel,Excavation,Domestic,4.3,2.3,2.2,,,,"*** Alexandre. 2008. Karm er-Ras (Area S), Hadashot Arkheologiyot-Excavations and Surveys in Israel 120,-., p. *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 323 no. 80",10/01/17 02:21
Karm er-Ras,L735,Israel,Excavation,Domestic,1.9,1.4,1.7,,,,"*** Alexandre. 2008. Karm er-Ras (Areas H, J), Hadashot Arkheologiyot-Excavations and Surveys in Israel 120,-., p. *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 323 no. 80",10/01/17 02:21
Khirbet Qana,1,Israel,Unknown,Unknown,,,,,,,"*** Edwards. Khirbet Qana: from Jewish village to Christian pilgrim site, in: The Roman and Byzantine Near East, Volume 3. Humphrey, John H. (Prof), 2002, p. 114-15, Fig. 13 *** Rech, Fischer, Edwards, Jull. 2003. Direct dating of plaster and mortar using AMS Radiocarbon: a pilot project from Khirbet Qana, Israel, Antiquity 77, 155-164., p. 162 *** Rech. 2004. New uses for old laboratory techniques. How Radiocarbon dating of Mortar and Plaster could change the chronology of the Ancient Near East, Near Eastern Archaeology 67, 212-219., p. 216-17 *** Amit, Adler. The Observance of Ritual Purity after 70 C.E. A Reevaluation of the Evidence in Light of Recent Archaeological Discoveries, in: ""Follow the Wise"": Studies in Jewish History and Culture in Honor of Lee I. Levine. Weiss, Zeev (Prof), Irshai, Oded (Prof), Magness, Jodi (Prof), Schwartz, Seth (Prof), 2010, p. 131 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 26",10/01/17 02:21
Khirbet Qana,2,Israel,Survey,Unknown,,,,,,,"*** Edwards. Khirbet Qana: from Jewish village to Christian pilgrim site, in: The Roman and Byzantine Near East, Volume 3. Humphrey, John H. (Prof), 2002, p. 117, Fig. 16 *** Rech, Fischer, Edwards, Jull. 2003. Direct dating of plaster and mortar using AMS Radiocarbon: a pilot project from Khirbet Qana, Israel, Antiquity 77, 155-164., p. 162, Fig. 5 *** Rech. 2004. New uses for old laboratory techniques. How Radiocarbon dating of Mortar and Plaster could change the chronology of the Ancient Near East, Near Eastern Archaeology 67, 212-219., p. 216-17 *** Edwards. Walking the Roman Landscape in Lower Galilee: Sepphoris, Jotapata, and Khirbet Qana, in: A Wandering Galilean: Essays in Honour of SeÃ¡n Freyne. Daly-Denton, Margaret, Fitzpatrick McKinley, Anne, Rodgers, Zuleika (Prof), 2009, p. 224-25 *** Amit, Adler. The Observance of Ritual Purity after 70 C.E. A Reevaluation of the Evidence in Light of Recent Archaeological Discoveries, in: ""Follow the Wise"": Studies in Jewish History and Culture in Honor of Lee I. Levine. Weiss, Zeev (Prof), Irshai, Oded (Prof), Magness, Jodi (Prof), Schwartz, Seth (Prof), 2010, p. 131 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 27",10/01/17 02:21
Khirbet Qana,3,Israel,Unknown,Unknown,,,,,,,"*** Shahar. The Underground Hideouts in Galilee and Their Historical Meaning, in: The Bar Kokhba War Reconsidered. New Perspectives on the Second Jewish Revolt against Rome. SchÃ¤fer, Peter (Prof), 2003, p. 233 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 28",10/01/17 02:21
Khirbet Shema',L2029/L2030,Israel,Excavation,Unknown,,,,,,,"*** Meyers, Kraabel, Strange. 1976. Ancient Synagogue Excavations at Khirbet Shema', Upper Galilee, Israel 1970â1972., p. 40-41 *** Hoss. 2005. Baths and Bathing: The Culture of Bathing and the Baths and Thermae in Palestine from the Hasmoneans to the Moslem Conquest., p. 194-95 M cat. no. 37 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 7 *** Loffreda. 1981. Review: ""Ancient Synagogue Excavations at Khirbet Shema', Upper Galilee, Israel, 1970-1972, by E. M. Myers; A. T. Kraabel; J. F. Strange"", Bulletin of the American Schools of Oriental Research 244, 75-79., p. *** Magness. 1997. Synagogue Typology and Earthquake Chronology at Khirbet Shema', Israel, Journal of Field Archaeology 24, 211-220., p. *** Strange. Synagogue Typology and Khirbet Shema': A Response to Jodi Magness, in: Judaism in Late Antiquity 3. Where We Stand: Issues & Debates in Ancient Judaism. Vol. 4: The Special Problem of the Synagogue. Avery-Peck, Allan J. (Prof), Neusner, Jacob (Prof), 2001, p.",10/01/17 02:21
Khirbet Shema',T-17,Israel,Excavation,Unknown,2.4,1.6,,,,,"*** Meyers, Kraabel, Strange. 1976. Ancient Synagogue Excavations at Khirbet Shema', Upper Galilee, Israel 1970â1972., p. 113-17 *** Adler. 2009. Ritual Baths Adjacent to Tombs: An Analysis of the Archaeological Evidence in Light of the Halakhic Sources, Journal for the Study of Judaism 40, 55-73., p. 59-60 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 8",10/01/17 02:21
